City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grindavik,IS,2022-02-04 09:53:16,63.8424,-22.4338,30.15,74,75,19.57
1,Vila,PT,2022-02-04 09:53:16,42.0304,-8.1588,42.33,91,100,1.99
2,Rikitea,PF,2022-02-04 09:51:55,-23.1203,-134.9692,78.21,75,100,15.57
3,Atuona,PF,2022-02-04 09:53:17,-9.8,-139.0333,78.17,77,5,17.34
4,Lusambo,CD,2022-02-04 09:53:17,-4.9667,23.45,75.92,70,100,2.59
5,Punta Arenas,CL,2022-02-04 09:46:58,-53.15,-70.9167,39.31,70,75,9.22
6,Talnakh,RU,2022-02-04 09:53:17,69.4865,88.3972,-5.8,98,60,8.23
7,Provideniya,RU,2022-02-04 09:53:18,64.3833,-173.3,0.73,64,3,19.8
8,Vila Velha,BR,2022-02-04 09:51:53,-20.3297,-40.2925,75.15,94,75,2.3
9,Coquimbo,CL,2022-02-04 09:53:18,-29.9533,-71.3436,64.13,82,100,3.44
10,Bluff,NZ,2022-02-04 09:52:01,-46.6,168.3333,52.81,74,100,8.77
11,Kapaa,US,2022-02-04 09:53:19,22.0752,-159.319,71.01,72,0,4.85
12,Bredasdorp,ZA,2022-02-04 09:51:54,-34.5322,20.0403,72.28,40,80,11.1
13,Navahrudak,BY,2022-02-04 09:53:19,53.6,25.8333,21.85,96,99,11.65
14,Cherskiy,RU,2022-02-04 09:53:19,68.75,161.3,-33.45,99,7,3.04
15,Ushuaia,AR,2022-02-04 09:51:52,-54.8,-68.3,37.06,75,20,9.22
16,Manado,ID,2022-02-04 09:53:20,1.487,124.8455,79.57,89,40,3.44
17,Cidreira,BR,2022-02-04 09:44:18,-30.1811,-50.2056,74.71,81,100,5.32
18,Yumen,CN,2022-02-04 09:53:20,40.2833,97.2,23.49,27,82,13.91
19,Barrow,US,2022-02-04 09:45:26,71.2906,-156.7887,-29.18,68,20,6.91
20,Kayerkan,RU,2022-02-04 09:53:21,69.3497,87.7602,-6.48,76,71,6.26
21,Busselton,AU,2022-02-04 09:51:58,-33.65,115.3333,97.09,43,0,7.72
22,Soyo,AO,2022-02-04 09:53:21,-6.1349,12.3689,82.87,62,100,1.25
23,Saldanha,ZA,2022-02-04 09:48:02,-33.0117,17.9442,75.25,61,35,24.16
24,Georgetown,MY,2022-02-04 09:53:22,5.4112,100.3354,89.53,74,20,10.0
25,Mogocha,RU,2022-02-04 09:53:22,53.7333,119.7667,-1.62,90,100,3.89
26,Jatibonico,CU,2022-02-04 09:53:22,21.9419,-79.17,68.18,94,1,5.37
27,Eureka,US,2022-02-04 09:53:23,40.8021,-124.1637,46.2,80,11,1.99
28,Mehamn,NO,2022-02-04 09:49:18,71.0357,27.8492,21.38,79,51,16.93
29,Lagoa,PT,2022-02-04 09:53:23,39.05,-27.9833,57.31,83,100,17.85
30,Mataura,NZ,2022-02-04 09:53:23,-46.1927,168.8643,52.48,99,100,1.9
31,Gambo,CF,2022-02-04 09:53:24,4.6482,22.2633,96.94,13,60,5.03
32,Hualmay,PE,2022-02-04 09:53:24,-11.0964,-77.6139,69.55,84,98,6.98
33,Saint-Joseph,RE,2022-02-04 09:50:27,-21.3667,55.6167,80.98,86,100,22.84
34,Cape Town,ZA,2022-02-04 09:53:14,-33.9258,18.4232,75.11,43,0,8.01
35,Albany,US,2022-02-04 09:49:53,42.6001,-73.9662,30.74,89,100,1.99
36,Hasaki,JP,2022-02-04 09:53:25,35.7333,140.8333,41.4,70,97,7.43
37,Cabo San Lucas,MX,2022-02-04 09:47:56,22.8909,-109.9124,64.51,60,0,5.01
38,Dingle,PH,2022-02-04 09:48:00,10.9995,122.6711,74.88,88,100,13.47
39,San Miguel,SV,2022-02-04 09:53:25,13.4833,-88.1833,68.61,80,3,2.75
40,Cayenne,GF,2022-02-04 09:44:25,4.9333,-52.3333,78.1,87,100,7.0
41,Zhezkazgan,KZ,2022-02-04 09:53:26,47.8043,67.7144,17.58,67,0,13.42
42,Kruisfontein,ZA,2022-02-04 09:50:32,-34.0033,24.7314,69.89,60,98,10.51
43,Rong Kwang,TH,2022-02-04 09:53:26,18.339,100.3174,87.28,28,18,5.32
44,Savonlinna,FI,2022-02-04 09:53:26,61.8699,28.88,11.25,92,100,4.61
45,Labuhan,ID,2022-02-04 09:47:57,-6.8844,112.2051,82.11,81,86,10.2
46,Istanbul,TR,2022-02-04 09:50:45,41.0351,28.9833,44.02,57,40,11.5
47,Muzhi,RU,2022-02-04 09:54:27,65.3667,64.6667,7.47,95,100,0.92
48,Auki,SB,2022-02-04 09:54:27,-8.7676,160.7034,78.21,87,100,4.59
49,Hilo,US,2022-02-04 09:47:14,19.7297,-155.09,69.8,87,20,0.0
50,Vao,NC,2022-02-04 09:46:56,-22.6667,167.4833,77.56,88,99,10.25
51,Gazojak,TM,2022-02-04 09:54:28,41.1875,61.4036,53.74,33,75,17.65
52,Yellowknife,CA,2022-02-04 09:54:28,62.456,-114.3525,-33.45,74,0,3.44
53,Margate,GB,2022-02-04 09:45:40,51.3813,1.3862,48.88,78,100,11.01
54,Castro,BR,2022-02-04 09:46:54,-24.7911,-50.0119,64.69,99,100,3.18
55,Port Alfred,ZA,2022-02-04 09:54:29,-33.5906,26.891,72.72,60,100,14.99
56,Ullapool,GB,2022-02-04 09:54:29,57.8987,-5.1604,38.35,79,100,22.88
57,Tahta,EG,2022-02-04 09:54:29,26.7693,31.5021,59.32,40,2,21.03
58,Vaini,TO,2022-02-04 09:51:53,-21.2,-175.2,80.76,89,75,9.22
59,Cockburn Town,TC,2022-02-04 09:54:30,21.4612,-71.1419,74.91,74,69,21.88
60,Constitucion,CL,2022-02-04 09:54:30,-35.3333,-72.4167,56.34,90,47,3.38
61,Saskylakh,RU,2022-02-04 09:54:30,71.9167,114.0833,-10.41,99,100,3.76
62,Blyznyuky,UA,2022-02-04 09:54:31,48.8578,36.5551,25.93,92,100,10.36
63,Ammon,US,2022-02-04 09:54:31,43.4696,-111.9666,8.65,78,100,10.36
64,Khatanga,RU,2022-02-04 09:54:31,71.9667,102.5,-30.57,100,98,4.23
65,Pangody,RU,2022-02-04 09:54:32,65.85,74.4859,4.06,98,99,5.06
66,Srandakan,ID,2022-02-04 09:54:32,-7.9386,110.2506,82.94,74,100,6.55
67,Dikson,RU,2022-02-04 09:54:32,73.5069,80.5464,-4.61,93,100,5.48
68,Pisco,PE,2022-02-04 09:54:32,-13.7,-76.2167,66.25,82,0,10.36
69,Qaanaaq,GL,2022-02-04 09:54:33,77.484,-69.3632,-9.63,50,93,8.3
70,Mar Del Plata,AR,2022-02-04 09:50:11,-38.0023,-57.5575,67.08,96,100,0.0
71,Kutum,SD,2022-02-04 09:54:33,14.2,24.6667,70.45,13,18,15.35
72,New Norfolk,AU,2022-02-04 09:54:33,-42.7826,147.0587,60.3,85,7,2.84
73,Roald,NO,2022-02-04 09:54:34,62.5833,6.1333,39.33,81,75,19.57
74,Tuatapere,NZ,2022-02-04 09:45:36,-46.1333,167.6833,52.83,89,100,3.27
75,Leua,SK,2022-02-04 09:54:34,48.2156,18.6071,41.94,71,76,4.63
76,Byron Bay,AU,2022-02-04 09:54:35,-28.65,153.6167,73.29,69,81,23.24
77,Avarua,CK,2022-02-04 09:54:35,-21.2078,-159.775,78.85,83,40,10.36
78,Kisarawe,TZ,2022-02-04 09:54:35,-6.9,39.0667,84.0,70,75,10.36
79,Bengkulu,ID,2022-02-04 09:49:19,-3.8004,102.2655,78.53,84,95,6.6
80,Beloha,MG,2022-02-04 09:54:36,-25.1667,45.05,96.12,33,2,12.48
81,Creston,US,2022-02-04 09:54:36,41.0586,-94.3614,1.47,92,0,4.61
82,Erdenet,MN,2022-02-04 09:54:36,49.0333,104.0833,1.74,90,98,3.69
83,Hermanus,ZA,2022-02-04 09:51:59,-34.4187,19.2345,77.9,50,38,17.54
84,Thinadhoo,MV,2022-02-04 09:54:37,0.5333,72.9333,82.4,72,100,9.35
85,Jamestown,US,2022-02-04 09:50:01,42.097,-79.2353,18.09,67,100,4.0
86,Changping,CN,2022-02-04 09:54:37,40.2186,116.2197,31.64,24,0,6.26
87,Mazagao,BR,2022-02-04 09:54:37,-0.115,-51.2894,77.05,98,99,1.3
88,Miguel Auza,MX,2022-02-04 09:54:38,24.2933,-103.4503,41.34,73,0,4.29
89,Tortoli,IT,2022-02-04 09:54:38,39.9256,9.6572,60.82,71,0,5.75
90,Yenagoa,NG,2022-02-04 09:54:38,4.9247,6.2642,92.1,46,12,2.13
91,Loandjili,CG,2022-02-04 09:54:39,-4.7561,11.8578,84.31,65,40,4.61
92,Petropavlovsk-Kamchatskiy,RU,2022-02-04 09:55:39,53.0452,158.6483,28.99,51,75,11.18
93,Joao Pinheiro,BR,2022-02-04 09:55:39,-17.7425,-46.1725,69.3,90,100,2.82
94,Verrettes,HT,2022-02-04 09:55:40,19.05,-72.4667,71.19,93,3,4.76
95,Cascais,PT,2022-02-04 09:55:40,38.6979,-9.4215,57.06,82,20,1.01
96,Pundaguitan,PH,2022-02-04 09:55:40,6.3711,126.1689,75.51,90,100,10.02
97,Carutapera,BR,2022-02-04 09:55:41,-1.195,-46.02,77.65,88,100,7.76
98,Saint George,US,2022-02-04 09:55:39,37.1041,-113.5841,33.35,46,0,1.01
99,Brownwood,US,2022-02-04 09:55:41,31.7093,-98.9912,20.52,79,100,16.11
100,Lagos,NG,2022-02-04 09:54:28,6.5833,3.75,84.52,39,2,1.99
101,Lunenburg,CA,2022-02-04 09:55:42,44.3835,-64.3155,39.2,96,100,6.49
102,Kodiak,US,2022-02-04 09:55:42,57.79,-152.4072,38.71,70,100,13.8
103,Norman Wells,CA,2022-02-04 09:55:42,65.282,-126.8329,-36.36,61,20,6.91
104,Asau,RO,2022-02-04 09:48:00,46.4333,26.4,38.39,62,85,5.57
105,Chokurdakh,RU,2022-02-04 09:55:43,70.6333,147.9167,-30.59,100,16,1.3
106,Toamasina,MG,2022-02-04 09:55:43,-18.1667,49.3833,87.8,58,75,25.32
107,Karratha,AU,2022-02-04 09:50:39,-20.7377,116.8463,87.98,57,80,12.21
108,Bafq,IR,2022-02-04 09:55:43,31.6128,55.4107,73.81,8,0,13.22
109,Upata,VE,2022-02-04 09:55:44,8.0086,-62.3989,70.2,79,88,5.59
110,Sarkand,KZ,2022-02-04 09:55:44,45.41,79.9186,24.93,91,63,2.98
111,San Cristobal,VE,2022-02-04 09:55:44,7.7669,-72.225,65.34,88,68,1.7
112,Thanh Hoa,VN,2022-02-04 09:53:17,19.8,105.7667,61.3,58,99,4.74
113,Oussouye,SN,2022-02-04 09:55:45,12.485,-16.5469,69.89,19,0,7.38
114,Carnarvon,AU,2022-02-04 09:55:45,-24.8667,113.6333,93.27,40,13,17.27
115,Along,IN,2022-02-04 09:50:32,28.1667,94.7667,65.53,51,100,0.85
116,Raudeberg,NO,2022-02-04 09:55:45,61.9875,5.1352,38.8,80,100,8.01
117,Deputatskiy,RU,2022-02-04 09:55:46,69.3,139.9,-27.38,100,60,1.52
118,Lubao,PH,2022-02-04 09:55:46,14.9167,120.55,89.62,56,37,10.85
119,San Quintin,MX,2022-02-04 09:50:31,30.4833,-115.95,53.62,59,1,4.9
120,Saint-Philippe,RE,2022-02-04 09:55:46,-21.3585,55.7679,81.99,91,100,29.66
121,Bonfim,BR,2022-02-04 09:55:47,3.0833,-59.95,74.08,78,81,8.28
122,Carbonia,IT,2022-02-04 09:55:47,39.1672,8.5222,45.25,51,87,3.69
123,Noumea,NC,2022-02-04 09:49:23,-22.2763,166.4572,80.58,86,99,6.6
124,Havoysund,NO,2022-02-04 09:55:48,70.9963,24.6622,21.43,76,71,25.61
125,Faya,SA,2022-02-04 09:55:48,18.3851,42.4509,69.91,40,2,10.67
126,Sfantu Gheorghe,RO,2022-02-04 09:53:04,45.8667,25.7833,36.93,54,77,1.54
127,Touros,BR,2022-02-04 09:48:09,-5.1989,-35.4608,76.1,71,74,14.16
128,Nemuro,JP,2022-02-04 09:55:48,43.3236,145.575,19.83,74,79,7.61
129,Belaya Gora,RU,2022-02-04 09:55:49,68.5333,146.4167,-38.38,100,37,2.26
130,Yar-Sale,RU,2022-02-04 09:55:49,66.8333,70.8333,2.14,97,96,4.97
131,Chardara,KZ,2022-02-04 09:55:49,41.2547,67.9692,52.18,20,0,6.35
132,Akdagmadeni,TR,2022-02-04 09:55:50,39.6603,35.8836,30.97,99,100,8.25
133,Axim,GH,2022-02-04 09:55:50,4.8699,-2.2405,85.51,62,2,2.82
134,Lazaro Cardenas,MX,2022-02-04 09:55:50,17.9583,-102.2,67.57,85,1,4.79
135,Teeli,RU,2022-02-04 09:55:51,51.0333,90.2333,-5.22,97,18,0.56
136,Luderitz,NA,2022-02-04 09:55:51,-26.6481,15.1594,78.15,55,10,12.08
137,Fortuna,US,2022-02-04 09:55:51,40.5982,-124.1573,45.93,94,100,0.0
138,Batagay-Alyta,RU,2022-02-04 09:56:52,67.8006,130.4114,-25.91,98,34,3.13
139,Mount Gambier,AU,2022-02-04 09:46:56,-37.8333,140.7667,64.31,68,86,19.57
140,Tiarei,PF,2022-02-04 09:56:52,-17.5333,-149.3333,78.82,78,63,14.32
141,Kamaishi,JP,2022-02-04 09:56:52,39.2667,141.8833,25.75,61,35,5.79
142,Nhulunbuy,AU,2022-02-04 09:56:53,-12.2333,136.7667,84.81,70,100,10.36
143,Port Hardy,CA,2022-02-04 09:56:53,50.6996,-127.4199,46.76,87,100,11.5
144,Bhaderwah,IN,2022-02-04 09:56:53,32.9784,75.7186,40.44,95,95,2.91
145,Ribeira Grande,PT,2022-02-04 09:50:27,38.5167,-28.7,59.4,67,20,20.71
146,Kaitangata,NZ,2022-02-04 09:56:54,-46.2817,169.8464,48.33,94,100,4.92
147,Kingman,US,2022-02-04 09:54:06,35.1894,-114.053,39.11,27,0,8.99
148,Mahebourg,MU,2022-02-04 09:56:54,-20.4081,57.7,83.25,89,75,19.57
149,Hobart,AU,2022-02-04 09:55:33,-42.8794,147.3294,60.66,78,75,1.01
150,Black River,JM,2022-02-04 09:56:55,18.0264,-77.8487,75.2,88,1,4.52
151,Poronaysk,RU,2022-02-04 09:56:55,49.2167,143.1167,11.12,86,100,7.9
152,Meulaboh,ID,2022-02-04 09:56:55,4.1363,96.1285,80.92,75,78,5.91
153,Portland,US,2022-02-04 09:53:34,45.5234,-122.6762,41.2,96,60,1.01
154,Upernavik,GL,2022-02-04 09:51:55,72.7868,-56.1549,11.44,92,100,14.81
155,Salalah,OM,2022-02-04 09:55:09,17.0151,54.0924,84.83,31,0,4.16
156,Vila Franca Do Campo,PT,2022-02-04 09:49:24,37.7167,-25.4333,59.41,75,70,9.51
157,Hervey Bay,AU,2022-02-04 09:56:56,-25.2986,152.8535,77.11,70,85,25.99
158,Bethel,US,2022-02-04 09:53:28,41.3712,-73.414,50.56,95,100,1.99
159,East London,ZA,2022-02-04 09:54:02,-33.0153,27.9116,72.54,73,20,13.8
160,Canaries,ES,2022-02-04 09:56:57,28.0,-15.5,67.96,22,0,14.97
161,Butaritari,KI,2022-02-04 09:51:57,3.0707,172.7902,82.65,76,5,16.55
162,Hue,VN,2022-02-04 09:56:57,16.4667,107.6,64.51,94,75,9.22
163,Esperance,AU,2022-02-04 09:56:57,-33.8667,121.9,85.84,62,5,21.94
164,Puerto Ayora,EC,2022-02-04 09:56:58,-0.7393,-90.3518,71.55,95,4,4.56
165,Yatou,CN,2022-02-04 09:56:58,37.15,122.3833,25.72,56,79,14.83
166,Te Anau,NZ,2022-02-04 09:56:58,-45.4167,167.7167,45.34,93,100,3.22
167,Klaksvik,FO,2022-02-04 09:56:59,62.2266,-6.589,36.52,68,100,44.94
168,Korla,CN,2022-02-04 09:56:59,41.7597,86.1469,31.8,31,100,3.04
169,Pozo Colorado,PY,2022-02-04 09:56:59,-23.4923,-58.7972,77.56,75,30,6.13
170,Rio Grande,BR,2022-02-04 09:57:00,-32.035,-52.0986,70.95,94,100,5.59
171,Clyde River,CA,2022-02-04 09:57:00,70.4692,-68.5914,-3.77,84,100,25.32
172,Narsaq,GL,2022-02-04 09:57:00,60.9167,-46.05,13.98,94,100,18.9
173,Shu,KZ,2022-02-04 09:57:01,43.5983,73.7614,44.49,45,0,10.38
174,Carroll,US,2022-02-04 09:57:01,39.5501,-77.0164,60.17,87,100,8.99
175,Doha,QA,2022-02-04 09:52:04,25.2867,51.5333,77.31,64,0,6.91
176,Pevek,RU,2022-02-04 09:47:58,69.7008,170.3133,-22.13,100,63,1.36
177,Torbay,CA,2022-02-04 09:57:01,47.6666,-52.7314,40.75,94,100,16.11
178,Prince Rupert,CA,2022-02-04 09:57:02,54.3161,-130.3201,46.09,87,100,26.46
179,Port Blair,IN,2022-02-04 09:57:02,11.6667,92.75,84.24,70,40,11.5
180,Popondetta,PG,2022-02-04 09:57:02,-8.7537,148.2534,76.44,95,93,2.17
181,Arraial Do Cabo,BR,2022-02-04 09:57:03,-22.9661,-42.0278,75.06,94,0,3.44
182,Nichinan,JP,2022-02-04 09:57:03,31.6,131.3667,47.88,55,0,11.81
183,Chicama,PE,2022-02-04 09:58:03,-7.8447,-79.1469,69.06,82,70,3.47
184,Souillac,MU,2022-02-04 09:58:04,-20.5167,57.5167,83.35,89,75,19.57
185,Lebu,CL,2022-02-04 09:58:04,-37.6167,-73.65,60.73,87,95,15.19
186,Santiago De Cao,PE,2022-02-04 09:58:04,-7.9589,-79.2392,68.56,87,60,8.14
187,Tuktoyaktuk,CA,2022-02-04 09:58:05,69.4541,-133.0374,-24.36,100,98,7.63
188,Ponta Do Sol,PT,2022-02-04 09:58:05,32.6667,-17.1,67.71,71,55,1.74
189,Sobolevo,RU,2022-02-04 09:58:05,54.4299,31.8996,18.46,92,93,6.31
190,Bojnurd,IR,2022-02-04 09:58:06,37.4747,57.329,57.15,26,0,2.3
191,Sumbe,AO,2022-02-04 09:58:06,-11.2061,13.8437,80.98,62,71,7.07
192,Orchard Homes,US,2022-02-04 09:58:06,46.8633,-114.0484,24.85,84,77,3.0
193,Pleasanton,US,2022-02-04 09:54:04,37.6624,-121.8747,53.04,68,0,3.06
194,Chuy,UY,2022-02-04 09:51:56,-33.6971,-53.4616,69.13,95,100,8.57
195,Capalayan,PH,2022-02-04 09:58:07,9.7406,125.5444,76.44,90,100,9.95
196,Severo-Kurilsk,RU,2022-02-04 09:53:58,50.6789,156.125,28.26,86,100,6.62
197,Nome,US,2022-02-04 09:55:33,64.5011,-165.4064,7.16,61,82,27.09
198,Kahului,US,2022-02-04 09:58:07,20.8947,-156.47,70.84,78,1,3.0
199,Czersk,PL,2022-02-04 09:58:08,53.7959,17.9765,41.56,99,100,7.14
200,Turukhansk,RU,2022-02-04 09:58:08,65.8167,87.9833,12.69,93,100,11.45
201,Rawson,AR,2022-02-04 09:50:33,-43.3002,-65.1023,64.58,77,100,20.38
202,Nikolskoye,RU,2022-02-04 09:58:08,59.7035,30.7861,15.8,95,99,4.63
203,Ilulissat,GL,2022-02-04 09:50:28,69.2167,-51.1,4.12,98,100,3.49
204,Arras,FR,2022-02-04 09:58:09,50.293,2.7819,48.11,91,100,19.46
205,Malindi,KE,2022-02-04 09:58:09,-3.2175,40.1191,87.96,62,40,11.5
206,Sur,OM,2022-02-04 09:58:09,22.5667,59.5289,76.98,38,35,5.48
207,Salinopolis,BR,2022-02-04 09:58:10,-0.6136,-47.3561,78.06,86,100,11.27
208,Leningradskiy,RU,2022-02-04 09:58:10,69.3833,178.4167,-15.88,86,3,5.28
209,Beira,MZ,2022-02-04 09:58:10,-19.8436,34.8389,89.69,66,20,7.0
210,Port Elizabeth,ZA,2022-02-04 09:49:16,-33.918,25.5701,72.1,60,100,16.11
211,Mount Abu,IN,2022-02-04 09:58:11,24.6,72.7,66.65,16,0,8.43
212,Krasni Okny,UA,2022-02-04 09:58:11,47.5404,29.46,32.58,64,36,7.65
213,Taltal,CL,2022-02-04 09:58:11,-25.4,-70.4833,64.09,80,0,2.01
214,Kaniama,CD,2022-02-04 09:58:12,-7.5667,24.1833,69.28,86,99,5.14
215,Palmer,US,2022-02-04 09:56:01,42.1584,-72.3287,48.99,83,100,1.01
216,Henties Bay,NA,2022-02-04 09:58:12,-22.116,14.2845,70.86,68,4,9.4
217,Sorland,NO,2022-02-04 09:58:12,67.667,12.6934,30.06,95,100,31.34
218,Vaitape,PF,2022-02-04 09:58:13,-16.5167,-151.75,80.65,72,8,12.37
219,Thompson,CA,2022-02-04 09:58:13,55.7435,-97.8558,-25.44,75,0,5.75
220,Upington,ZA,2022-02-04 09:58:13,-28.4478,21.2561,84.58,34,0,5.75
221,Rancho Cordova,US,2022-02-04 09:58:14,38.5891,-121.3027,49.87,83,0,5.75
222,Iwanai,JP,2022-02-04 09:58:14,42.9744,140.5089,21.99,82,100,12.59
223,Jacqueville,CI,2022-02-04 09:58:14,5.2052,-4.4146,84.11,71,5,5.12
224,Buraydah,SA,2022-02-04 09:58:15,26.326,43.975,73.85,41,4,16.28
225,Tres Picos,MX,2022-02-04 09:58:15,15.8667,-93.5333,72.23,70,0,5.53
226,Juneau,US,2022-02-04 09:58:15,58.3019,-134.4197,30.25,91,100,8.05
227,Demidov,RU,2022-02-04 09:58:16,55.2706,31.515,19.22,92,94,3.11
228,Saint-Augustin,CA,2022-02-04 09:58:16,51.226,-58.6502,-4.72,75,100,9.82
229,Bambous Virieux,MU,2022-02-04 09:58:16,-20.3428,57.7575,83.21,89,75,19.57
230,Wasilla,US,2022-02-04 09:58:16,61.5814,-149.4394,21.36,81,100,9.22
231,Potam,MX,2022-02-04 09:58:17,27.6,-110.3833,47.91,24,0,7.58
232,Sangar,RU,2022-02-04 09:59:17,63.9242,127.4739,-30.12,100,96,2.04
233,Harper,LR,2022-02-04 09:59:17,4.375,-7.7169,83.3,68,83,4.09
234,Kieta,PG,2022-02-04 09:59:18,-6.2167,155.6333,81.23,84,100,7.99
235,Codrington,AU,2022-02-04 09:49:23,-38.2667,141.9667,60.87,81,38,16.26
236,Jumla,NP,2022-02-04 09:59:18,29.2747,82.1838,36.77,79,96,6.53
237,La Concepcion,PA,2022-02-04 09:59:18,8.5167,-82.6167,78.44,80,1,3.06
238,Bathsheba,BB,2022-02-04 09:59:19,13.2167,-59.5167,75.81,73,40,13.8
239,Shimoda,JP,2022-02-04 09:59:19,34.6667,138.95,46.02,55,1,25.81
240,Barranquilla,CO,2022-02-04 09:59:19,10.9639,-74.7964,76.78,94,75,10.36
241,Yamada,JP,2022-02-04 09:59:20,39.4667,141.95,29.66,55,7,2.82
242,Challapata,BO,2022-02-04 09:59:20,-18.9,-66.7667,45.66,87,99,8.43
243,Latung,PH,2022-02-04 09:59:20,5.5,120.8833,81.63,69,90,2.89
244,Lorengau,PG,2022-02-04 09:59:21,-2.0226,147.2712,81.28,69,97,7.76
245,Nacala,MZ,2022-02-04 09:59:21,-14.5428,40.6728,92.07,51,90,5.35
246,Olafsvik,IS,2022-02-04 09:59:21,64.8945,-23.7142,29.23,79,90,18.54
247,Nanortalik,GL,2022-02-04 09:59:21,60.1432,-45.2371,17.55,86,100,30.85
248,Nizhniy Kuranakh,RU,2022-02-04 09:59:22,58.8353,125.4869,-4.65,98,100,3.65
249,Burlington,US,2022-02-04 09:59:22,39.8835,-74.6413,58.08,92,75,8.01
250,Hambantota,LK,2022-02-04 09:59:23,6.1241,81.1185,88.14,74,20,8.05
251,Dudinka,RU,2022-02-04 09:59:23,69.4058,86.1778,-5.39,98,89,5.75
252,Pochutla,MX,2022-02-04 09:59:23,15.7432,-96.4661,66.81,68,0,4.68
253,Oktyabrskoye,RU,2022-02-04 09:59:23,43.0645,44.7417,44.74,52,75,4.47
254,Tema,GH,2022-02-04 09:59:24,5.667,-0.0166,82.81,83,8,8.05
255,La Romana,DO,2022-02-04 09:59:24,18.4273,-68.9728,74.93,88,43,10.78
256,Krasnoselkup,RU,2022-02-04 09:59:24,65.7,82.4667,15.6,95,100,8.66
257,The Valley,AI,2022-02-04 09:59:25,18.217,-63.0578,76.1,76,24,13.53
258,Tiksi,RU,2022-02-04 09:59:25,71.6872,128.8694,-12.55,100,100,2.39
259,Itarema,BR,2022-02-04 09:50:40,-2.9248,-39.9167,78.6,83,100,9.26
260,Galveston,US,2022-02-04 09:55:12,29.3669,-94.9669,32.0,88,86,8.01
261,Collie,AU,2022-02-04 09:59:26,-33.3667,116.15,94.98,16,29,7.45
262,Moree,AU,2022-02-04 09:59:26,-29.4667,149.85,77.02,36,73,17.27
263,Tasiilaq,GL,2022-02-04 09:59:26,65.6145,-37.6368,11.66,64,100,9.89
264,Namibe,AO,2022-02-04 09:59:26,-15.1961,12.1522,77.63,69,40,11.5
265,Makakilo City,US,2022-02-04 09:59:27,21.3469,-158.0858,70.29,74,0,5.59
266,Walvis Bay,NA,2022-02-04 09:59:27,-22.9575,14.5053,71.1,66,11,11.43
267,Truth Or Consequences,US,2022-02-04 09:59:27,33.1284,-107.2528,19.15,73,1,6.13
268,Maine-Soroa,NE,2022-02-04 09:59:28,13.2114,12.0241,74.55,18,11,16.28
269,Santa Catarina Palopo,GT,2022-02-04 09:59:28,14.7167,-91.1333,58.06,86,1,4.65
270,Vincennes,FR,2022-02-04 09:59:28,48.85,2.4333,48.15,90,100,5.01
271,Tikhvin,RU,2022-02-04 09:59:29,59.6451,33.5294,11.75,95,99,1.99
272,Fort-Shevchenko,KZ,2022-02-04 09:59:29,44.5086,50.263,40.57,95,100,7.76
273,Mbulu,TZ,2022-02-04 09:59:29,-3.85,35.5333,75.06,44,99,6.91
274,Porto Novo,BJ,2022-02-04 09:59:30,6.4965,2.6036,82.22,47,6,4.03
275,Qui Nhon,VN,2022-02-04 09:59:30,13.7667,109.2333,73.04,88,66,17.18
276,Mogadishu,SO,2022-02-04 09:59:30,2.0371,45.3438,85.87,66,20,23.02
277,Berlevag,NO,2022-02-04 09:59:31,70.8578,29.0864,12.0,82,59,17.11
278,Muisne,EC,2022-02-04 09:59:31,0.6,-80.0333,75.52,88,91,8.84
279,Campo Gobierno,MX,2022-02-04 10:00:31,24.6536,-107.5411,53.2,77,1,6.4
280,Tezu,IN,2022-02-04 10:00:32,27.9167,96.1667,69.87,43,86,2.01
